id,parent,place_type,place_code,code_type,eng,afr,nbl,xho,zul,nso,sot,tsn,ssw,ven,tso,street_code,box_code,latitude,longitude,last_modified
101214,100698,town,,,Tswelelang,,,,,,,,,,,2630,2630,-27.2278270,25.9783798,2024-03-27T05:03:22.707373+00:00
101215,100602,local_municipality,FS183,municipal_code,Tswelopele,,,,,,,,,,,,,-28.0517093,25.7308359,2024-03-27T05:03:18.634725+00:00
101216,100689,town,,,Tugela Mouth,,,,,,,,,,,,4492,-29.2188934,31.5030175,2024-03-27T05:03:19.821334+00:00
101217,100875,town,,,Tumahole,,,,,,,,,,,9585,,-26.9194574,27.4762583,2024-03-27T05:03:18.471968+00:00
101218,100991,town,,,Turfloop,,,,,,,,,,,,0727,-23.8854652,29.7359734,2024-03-27T05:03:20.858103+00:00
101219,100693,town,,,Tweespruit,,,,,,,,,,,9770,9770,-29.1911844,27.0264476,2024-03-27T05:03:18.692387+00:00
101220,100372,town,,,Tzaneen,,,,,,,,,,,0850,0850,-23.8057696,30.1265001,2024-03-27T05:03:20.936132+00:00
101221,101111,local_municipality,KZN434,municipal_code,Ubuhlebezwe,,,,,,,,,,,,,-30.1773422,30.0867036,2024-03-27T05:03:19.902365+00:00
101222,100985,local_municipality,NC071,municipal_code,Ubuntu,,,,,,,,,,,,,-31.3809850,22.7306115,2024-03-27T05:03:22.338529+00:00
101223,100277,town,,,Ugie,,,,,,,,,,,5470,5470,-31.2027140,28.2321369,2024-03-27T05:03:18.103189+00:00
101224,100571,district_municipality,DC21,municipal_code,Ugu,,,,,,,,,,,,,-30.5296098,30.1223501,2024-03-27T05:03:19.939171+00:00
101225,100860,town,,,Uitenhage,,,,,,,,,,,6229,6230,-33.7569272,25.3819659,2024-03-27T05:03:18.234099+00:00
101226,100224,town,,,Ulco,,,,,,,,,,,8390,8390,-28.3236455,24.2176311,2024-03-27T05:03:21.922384+00:00
101227,101228,town,,,Ulundi,,,,,,,,,,,3838,3838,-28.2949668,31.4247265,2024-03-27T05:03:20.732152+00:00
101228,101353,local_municipality,KZN266,municipal_code,Ulundi,,,,,,,,,,,,,-28.2420436,31.1763100,2024-03-27T05:03:20.716821+00:00
101229,100143,town,,,uMasizakhe,,,,,,,,,,,6280,,-32.2389347,24.5378614,2024-03-27T05:03:17.708427+00:00
101230,100306,town,,,Umbumbulu,,,,,,,,,,,,4105,-29.9838990,30.7027206,2024-03-27T05:03:19.747240+00:00
101231,101224,local_municipality,KZN212,municipal_code,uMdoni,,,,,,,,,,,,,-30.3347250,30.6129395,2024-03-27T05:03:20.055415+00:00
101232,100306,town,,,Umgababa,,,,,,,,,,,4126,4126,-30.1419211,30.8192635,2024-03-27T05:03:19.751043+00:00
101233,100571,district_municipality,DC22,municipal_code,uMgungundlovu,,,,,,,,,,,,,-29.4614549,29.9573407,2024-03-27T05:03:20.126720+00:00
101234,101237,local_municipality,KZN271,municipal_code,uMhlabuyalingana,,,,,,,,,,,,,-27.1815448,32.3725169,2024-03-27T05:03:20.306604+00:00
101235,101259,local_municipality,KZN282,municipal_code,uMhlathuze,,,,,,,,,,,,,-28.7760629,31.8453746,2024-03-27T05:03:20.548440+00:00
