place_type,place_code,code_type,eng,street_code,latitude,longitude
local_municipality,KZN283,municipal_code,Ntambanana,,-28.5943582,31.7312494
town,,,Ntha,9630,-27.8838939,27.9018334
town,,,Ntsweletsoku,2891,-25.4326,25.9433
town,,,Nxamalala,,-28.8417462,30.440139
local_municipality,EC128,municipal_code,Nxuba,,-32.6956236,26.1506673
local_municipality,EC155,municipal_code,Nyandeni,,-31.6067061,28.9459752
town,,,Nyanga,7750,-33.9934114,18.5781537
town,,,Nyuswa,,-30.7061141,29.4522228
town,,,Oberholzer,2499,-26.3464553,27.3792859
town,,,Odendaalsrus,9480,-27.8645527,26.6840736
town,,,Ogies,2230,-26.0498108,29.0489166
town,,,Ohrigstad,,-24.7472131,30.5642396
local_municipality,KZN235,municipal_code,Okhahlamba,,-28.7059206,29.2110598
town,,,Okiep,,-29.5917561,17.8664549
town,,,Olifantshoek,8450,-27.9418934,22.7359921
town,,,Onrusrivier,7201,-34.4106766,19.1743617
town,,,Onseepkans,,-28.7559321,19.2791554
town,,,Onverwacht,557,-23.6855322,27.6746515
suburb,,,Oostersee,7500,-33.8989439,18.6015793
town,,,Opkoms,9301,-29.1472782,26.2537642
town,,,Oppermansdorp,,-29.4117729,24.7396368
town,,,Orange Farm,1841,-26.4672516,27.8550621
town,,,Orania,,-29.8224104,24.4010264
town,,,Oranjeville,1995,-26.9838986,28.19773
town,,,Orient Hills,4133,-29.9982796,30.9179406
town,,,Orkney,2619,-26.96361,26.6172838
district_municipality,DC15,municipal_code,OR Tambo,,-31.3357546,28.7387385
town,,,Osizweni,2952,-27.779393,30.1583765
town,,,Oskraal,,-25.5035267,27.870758
town,,,Oslo Beach,4240,-30.7632703,30.4351712
town,,,Othame,,-28.7369401,30.5579499
town,,,Ottosdal,2610,-26.8154206,25.9857357
town,,,Oudtshoorn,6625,-33.5871616,22.1987742
local_municipality,WC045,municipal_code,Oudtshoorn,,-33.6275225,22.0895266
town,,,Oukasie,250,-25.6044508,27.7904106
district_municipality,DC3,municipal_code,Overberg,,-34.3074411,19.4547236
local_municipality,WC032,municipal_code,Overstrand,,-34.4852541,19.0433561
town,,,Oviston,9798,-30.6964408,25.7649817
town,,,Oyster Bay,6331,-34.1677146,24.6460037
town,,,Paarl,7646,-33.7327818,18.9452199
town,,,Pampierstad,8566,-27.7829381,24.6864153
suburb,,,Panorama,7500,-33.8799133,18.5716819
town,,,Paradise Beach,,-34.1045338,24.8826883
suburb,,,Park Ridge,5209,-33.0165737,27.8772648
